feature,raw_token,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction
rawtok_TYROSINE_PROTEIN_KINASE_MER,TYROSINE-PROTEIN KINASE MER,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TIE_1,TYROSINE-PROTEIN KINASE RECEPTOR TIE-1,2,-0.5955141252135565,1.0,0.0,0.0,enriched_in_worsen
rawtok_AP2_ASSOCIATED_PROTEIN_KINASE_1,AP2-ASSOCIATED PROTEIN KINASE 1,2,0.6976468935533292,1.0,0.0,0.0,enriched_in_improve
rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA__2,CASEIN KINASE II SUBUNIT ALPHA',2,0.6976468935533292,1.0,0.0,0.0,enriched_in_improve
rawtok_EPHRIN_TYPE_B_RECEPTOR_6,EPHRIN TYPE-B RECEPTOR 6,2,2.0417551248124193,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,2,1.2041749699660524,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF,SERINE/THREONINE-PROTEIN KINASE B-RAF,2,0.9804454814804419,1.0,0.0,0.0,enriched_in_improve
rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,2,0.7875845152532978,1.0,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_TTK,DUAL SPECIFICITY PROTEIN KINASE TTK,2,-0.4826116473235794,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPITHELIAL_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_1,EPITHELIAL DISCOIDIN DOMAIN-CONTAINING RECEPTOR 1,2,-0.4724784163105772,1.0,0.0,0.0,enriched_in_worsen
rawtok_FOCAL_ADHESION_KINASE_1,FOCAL ADHESION KINASE 1,2,-0.4724784163105772,1.0,0.0,0.0,enriched_in_worsen
rawtok_LEUKOCYTE_TYROSINE_KINASE_RECEPTOR,LEUKOCYTE TYROSINE KINASE RECEPTOR,2,-0.4826116473235794,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_8,MITOGEN-ACTIVATED PROTEIN KINASE 8,2,-0.4826116473235794,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_20,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20,2,-0.4724784163105772,1.0,0.0,0.0,enriched_in_worsen
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_ALPHA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT ALPHA ISOFORM",3,-0.6137509241457811,1.0,0.0,0.0,enriched_in_worsen
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_BETA_IS,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT BETA ISOFORM",3,-0.6137509241457811,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_CSK,TYROSINE-PROTEIN KINASE CSK,1,-0.6137509241457811,1.0,0.0,0.0,enriched_in_worsen
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_1,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 1,2,-0.4724784163105772,1.0,0.0,0.0,enriched_in_worsen
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,2,0.8840475807210322,1.0,0.0,0.0,enriched_in_improve
rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,2,0.8810388275771697,1.0,0.0,0.0,enriched_in_improve
rawtok_STE20_LIKE_SERINE_THREONINE_PROTEIN_KINASE,STE20-LIKE SERINE/THREONINE-PROTEIN KINASE,2,0.8840475807210322,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_ABL1,TYROSINE-PROTEIN KINASE ABL1,2,0.8840475807210322,1.0,0.0,0.0,enriched_in_improve
rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,2,0.4755451997595268,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_4,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4,2,-0.21009256029269596,1.0,0.0,0.0,enriched_in_worsen
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2,2,0.42213930915441994,1.0,0.0,0.0,enriched_in_improve
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,2,0.7049378970815326,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_ABL2,TYROSINE-PROTEIN KINASE ABL2,2,0.42213930915441994,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_BLK,TYROSINE-PROTEIN KINASE BLK,2,0.7049378970815326,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_FRK,TYROSINE-PROTEIN KINASE FRK,2,0.42213930915441994,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_HCK,TYROSINE-PROTEIN KINASE HCK,2,0.42213930915441994,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_LYN,TYROSINE-PROTEIN KINASE LYN,2,0.42213930915441994,1.0,0.0,0.0,enriched_in_improve
rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA,PLATELET-DERIVED GROWTH FACTOR RECEPTOR BETA,2,-0.19839712505147497,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_D2,SERINE/THREONINE-PROTEIN KINASE D2,2,-0.2085303560644772,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_YES,TYROSINE-PROTEIN KINASE YES,2,-0.19839712505147497,1.0,0.0,0.0,enriched_in_worsen
rawtok_CITRON_RHO_INTERACTING_KINASE,CITRON RHO-INTERACTING KINASE,2,0.48356768304718656,1.0,0.0,0.0,enriched_in_improve
rawtok_CYCLIN_DEPENDENT_KINASE_16,CYCLIN-DEPENDENT KINASE 16,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve
rawtok_CYCLIN_DEPENDENT_KINASE_7,CYCLIN-DEPENDENT KINASE 7,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1A,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1A,2,0.48356768304718656,1.0,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1B,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1B,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve
rawtok_EPHRIN_TYPE_A_RECEPTOR_6,EPHRIN TYPE-A RECEPTOR 6,2,0.48356768304718656,1.0,0.0,0.0,enriched_in_improve
rawtok_HISTONE_DEACETYLASE_6,HISTONE DEACETYLASE 6,2,0.3497758162615445,1.0,0.0,0.0,enriched_in_improve
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,2,1.6039464258206664,1.0,0.0,0.0,enriched_in_improve
rawtok_LEUCINE_RICH_REPEAT_SERINE_THREONINE_PROTEIN_KINASE_2,LEUCINE-RICH REPEAT SERINE/THREONINE-PROTEIN KINASE 2,2,0.7663662709742993,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_2,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2,2,0.48356768304718656,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_TYROSINE_KINASE_6,PROTEIN-TYROSINE KINASE 6,1,0.48542682717024166,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PLK4,SERINE/THREONINE-PROTEIN KINASE PLK4,2,1.3211478378935537,1.0,0.0,0.0,enriched_in_improve
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_3,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 3,2,0.48356768304718656,1.0,0.0,0.0,enriched_in_improve
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4D,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4D",2,-0.20710406292467015,1.0,0.0,0.0,enriched_in_worsen
rawtok_ACTIVIN_RECEPTOR_TYPE_2B,ACTIVIN RECEPTOR TYPE-2B,1,-0.06273575534796258,1.0,0.0,0.0,enriched_in_worsen
rawtok_AURORA_KINASE_C,AURORA KINASE C,1,-0.06273575534796258,1.0,0.0,0.0,enriched_in_worsen
rawtok_RAF_PROTO_ONCOGENE_SERINE_THREONINE_PROTEIN_KINASE,RAF PROTO-ONCOGENE SERINE/THREONINE-PROTEIN KINASE,2,-0.19697083191166792,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK1,SERINE/THREONINE-PROTEIN KINASE CHK1,2,-0.19697083191166792,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_D3,SERINE/THREONINE-PROTEIN KINASE D3,2,-0.19697083191166792,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_4,SERINE/THREONINE-PROTEIN KINASE PAK 4,2,-0.19697083191166792,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SIK2,SERINE/THREONINE-PROTEIN KINASE SIK2,1,-0.06273575534796258,1.0,0.0,0.0,enriched_in_worsen
rawtok_SODIUM_DEPENDENT_NORADRENALINE_TRANSPORTER,SODIUM-DEPENDENT NORADRENALINE TRANSPORTER,2,-0.20710406292467015,1.0,0.0,0.0,enriched_in_worsen
rawtok_2_AND_3_INHIBITOR,2 AND 3 INHIBITOR,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_ATP_DEPENDENT_TRANSLOCASE_ABCB1,ATP-DEPENDENT TRANSLOCASE ABCB1,2,0.6093370665451688,1.0,0.0,0.0,enriched_in_improve
rawtok_BROAD_SUBSTRATE_SPECIFICITY_ATP_BINDING_CASSETTE_TRANSPORTER_ABCG2,BROAD SUBSTRATE SPECIFICITY ATP-BINDING CASSETTE TRANSPORTER ABCG2,2,0.6093370665451688,1.0,0.0,0.0,enriched_in_improve
rawtok_CYTOCHROME_P450_1A2,CYTOCHROME P450 1A2,3,0.6918777046376682,1.0,0.0,0.0,enriched_in_improve
rawtok_CYTOCHROME_P450_2C9,CYTOCHROME P450 2C9,3,0.6918777046376682,1.0,0.0,0.0,enriched_in_improve
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_3,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 3,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_4,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_KDR,KDR,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_MATERNAL_EMBRYONIC_LEUCINE_ZIPPER_KINASE,MATERNAL EMBRYONIC LEUCINE ZIPPER KINASE,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_14,MITOGEN-ACTIVATED PROTEIN KINASE 14,2,0.6093370665451688,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_2,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 2,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 3,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_MTOR_SIGNALING,MTOR SIGNALING,2,0.6093370665451688,1.0,0.0,0.0,enriched_in_improve
rawtok_MYOSIN_LIGHT_CHAIN_KINASE,MYOSIN LIGHT CHAIN KINASE,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_MYOSIN_LIGHT_CHAIN_KINASE_2_SKELETAL_CARDIAC_MUSCLE,"MYOSIN LIGHT CHAIN KINASE 2, SKELETAL/CARDIAC MUSCLE",2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TYK2,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_NUAK_FAMILY_SNF1_LIKE_KINASE_2,NUAK FAMILY SNF1-LIKE KINASE 2,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PARP_1,PARP 1,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PARP_1_2_AND_3_INHIBITOR,"PARP 1, 2 AND 3 INHIBITOR",2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_B,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT BETA,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_LIVER_TESTIS_ISOFORM,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, LIVER/TESTIS ISOFORM",2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_SKELETAL_MUSCLE_HEART_ISOFO,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, SKELETAL MUSCLE/HEART ISOFORM",2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PI3K,PI3K,2,0.6093370665451688,1.0,0.0,0.0,enriched_in_improve
rawtok_PROGESTERONE_RECEPTOR,PROGESTERONE RECEPTOR,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP12,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP12,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP14,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP14,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP16,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP16,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_3,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_4,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_4,RIBOSOMAL PROTEIN S6 KINASE ALPHA-4,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_17A,SERINE/THREONINE-PROTEIN KINASE 17A,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_3,SERINE/THREONINE-PROTEIN KINASE 3,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_N2,SERINE/THREONINE-PROTEIN KINASE N2,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PIM_1,SERINE/THREONINE-PROTEIN KINASE PIM-1,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PIM_3,SERINE/THREONINE-PROTEIN KINASE PIM-3,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SBK1,SERINE/THREONINE-PROTEIN KINASE SBK1,2,1.446917221391536,1.0,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ULK3,SERINE/THREONINE-PROTEIN KINASE ULK3,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_JAK1,TYROSINE-PROTEIN KINASE JAK1,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_JAK2,TYROSINE-PROTEIN KINASE JAK2,1,0.7369655941662062,1.0,0.0,0.0,enriched_in_improve
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_SUBUNIT_GAMMA_1,5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT GAMMA-1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_SUBUNIT_GAMMA_2,5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT GAMMA-2,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_5_HYDROXYTRYPTAMINE_RECEPTOR_2B,5-HYDROXYTRYPTAMINE RECEPTOR 2B,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_ACTIVIN_RECEPTOR_TYPE_1,ACTIVIN RECEPTOR TYPE-1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_ADENOSINE_RECEPTOR_A1,ADENOSINE RECEPTOR A1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_ALPHA_2A_ADRENERGIC_RECEPTOR,ALPHA-2A ADRENERGIC RECEPTOR,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_BRAF,BRAF,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_BRD4,BRD4,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_BROMODOMAIN_TESTIS_SPECIFIC_PROTEIN,BROMODOMAIN TESTIS-SPECIFIC PROTEIN,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_KINASE_1,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_KINASE_2,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 2,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_1G,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE 1G,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_CGMP_INHIBITED_3_5_CYCLIC_PHOSPHODIESTERASE_3A,"CGMP-INHIBITED 3',5'-CYCLIC PHOSPHODIESTERASE 3A",1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_CHROMATIN_OTHER,CHROMATIN OTHER,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_1,CYCLIN-DEPENDENT KINASE 1,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_3,CYCLIN-DEPENDENT KINASE 3,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_LIKE_2,CYCLIN-DEPENDENT KINASE-LIKE 2,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_DEATH_ASSOCIATED_PROTEIN_KINASE_1,DEATH-ASSOCIATED PROTEIN KINASE 1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_DELTA_TYPE_OPIOID_RECEPTOR,DELTA-TYPE OPIOID RECEPTOR,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_D_3_DOPAMINE_RECEPTOR,D(3) DOPAMINE RECEPTOR,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_8,EPHRIN TYPE-A RECEPTOR 8,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_EQUILIBRATIVE_NUCLEOSIDE_TRANSPORTER_1,EQUILIBRATIVE NUCLEOSIDE TRANSPORTER 1,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_ESR1,ESR1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_ESR2,ESR2,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_ESTROGEN_RECEPTOR,ESTROGEN RECEPTOR,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_ESTROGEN_RECEPTOR_BETA,ESTROGEN RECEPTOR BETA,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_GLUCOCORTICOID_RECEPTOR,GLUCOCORTICOID RECEPTOR,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_GPER1,GPER1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_G_PROTEIN_COUPLED_RECEPTOR_KINASE_4,G PROTEIN-COUPLED RECEPTOR KINASE 4,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_HISTAMINE_H3_RECEPTOR,HISTAMINE H3 RECEPTOR,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_HORMONALLY_UP_REGULATED_NEU_TUMOR_ASSOCIATED_KINASE,HORMONALLY UP-REGULATED NEU TUMOR-ASSOCIATED KINASE,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_HORMONE_RELATED,HORMONE-RELATED,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR,INSULIN-LIKE GROWTH FACTOR 1 RECEPTOR,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_INSULIN_RECEPTOR,INSULIN RECEPTOR,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_INTERFERON_INDUCED_DOUBLE_STRANDED_RNA_ACTIVATED_PROTEIN_KINASE,"INTERFERON-INDUCED, DOUBLE-STRANDED RNA-ACTIVATED PROTEIN KINASE",1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MAP_KINASE_ACTIVATED_PROTEIN_KINASE_2,MAP KINASE-ACTIVATED PROTEIN KINASE 2,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MAP_MICROTUBULE_AFFINITY_REGULATING_KINASE_3,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 3,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MAP_MICROTUBULE_AFFINITY_REGULATING_KINASE_4,MAP/MICROTUBULE AFFINITY-REGULATING KINASE 4,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_1,MITOGEN-ACTIVATED PROTEIN KINASE 1,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_11,MITOGEN-ACTIVATED PROTEIN KINASE 11,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_11,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 11,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_12,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 12,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_4,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 4,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_9,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 9,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M1,MUSCARINIC ACETYLCHOLINE RECEPTOR M1,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M3,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_MYOSIN_IIIA,MYOSIN-IIIA,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MYOSIN_LIGHT_CHAIN_KINASE_SMOOTH_MUSCLE,"MYOSIN LIGHT CHAIN KINASE, SMOOTH MUSCLE",1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_MYOTONIN_PROTEIN_KINASE,MYOTONIN-PROTEIN KINASE,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TNK1,NON-RECEPTOR TYROSINE-PROTEIN KINASE TNK1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_NTRK1,NTRK1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
