feature,raw_token,assigned_theme,theme_mapping_status
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,UNMAPPED,unmapped
rawtok_LYN,LYN,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_MAOA,MAOA,UNMAPPED,unmapped
rawtok_MAPK12,MAPK12,JNK_P38_STRESS_MAPK,mapped
rawtok_MAPK8,MAPK8,JNK_P38_STRESS_MAPK,mapped
rawtok_MEK1,MEK1,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MEK2,MEK2,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_8,MITOGEN-ACTIVATED PROTEIN KINASE 8,UNMAPPED,unmapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_3,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 3,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MMP2,MMP2,UNMAPPED,unmapped
rawtok_MMP9,MMP9,UNMAPPED,unmapped
rawtok_MTORC2,MTORC2,UNMAPPED,unmapped
rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,UNMAPPED,unmapped
rawtok_NOS2,NOS2,UNMAPPED,unmapped
rawtok_NTRK2,NTRK2,UNMAPPED,unmapped
rawtok_PDE5A,PDE5A,UNMAPPED,unmapped
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_ALPHA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT ALPHA ISOFORM",UNMAPPED,unmapped
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_BETA_IS,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT BETA ISOFORM",UNMAPPED,unmapped
rawtok_PI3K_CLASS_1,PI3K (CLASS 1),PI3K_AKT_MTOR,mapped
rawtok_PIM1,PIM1,UNMAPPED,unmapped
rawtok_PIM3,PIM3,UNMAPPED,unmapped
rawtok_PLK3,PLK3,UNMAPPED,unmapped
rawtok_POLA1,POLA1,UNMAPPED,unmapped
rawtok_PRKACA,PRKACA,UNMAPPED,unmapped
rawtok_PRKCA,PRKCA,UNMAPPED,unmapped
rawtok_PROTEIN_TYROSINE_KINASE_6,PROTEIN-TYROSINE KINASE 6,UNMAPPED,unmapped
rawtok_RELA,RELA,UNMAPPED,unmapped
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_6,RIBOSOMAL PROTEIN S6 KINASE ALPHA-6,UNMAPPED,unmapped
rawtok_SCN1A,SCN1A,UNMAPPED,unmapped
rawtok_SCN4A,SCN4A,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_16,SERINE/THREONINE-PROTEIN KINASE 16,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_4,SERINE/THREONINE-PROTEIN KINASE 4,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_D3,SERINE/THREONINE-PROTEIN KINASE D3,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NEK2,SERINE/THREONINE-PROTEIN KINASE NEK2,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PLK4,SERINE/THREONINE-PROTEIN KINASE PLK4,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SIK2,SERINE/THREONINE-PROTEIN KINASE SIK2,UNMAPPED,unmapped
rawtok_SLC12A1,SLC12A1,ION_CHANNEL_TRANSPORTER,mapped
rawtok_SLC6A2,SLC6A2,ION_CHANNEL_TRANSPORTER,mapped
rawtok_SLC6A4,SLC6A4,ION_CHANNEL_TRANSPORTER,mapped
rawtok_SODIUM_DEPENDENT_NORADRENALINE_TRANSPORTER,SODIUM-DEPENDENT NORADRENALINE TRANSPORTER,ION_CHANNEL_TRANSPORTER,mapped
rawtok_TOP2B,TOP2B,UNMAPPED,unmapped
rawtok_TSPO,TSPO,UNMAPPED,unmapped
rawtok_TUBA1B,TUBA1B,UNMAPPED,unmapped
rawtok_TUBA1C,TUBA1C,UNMAPPED,unmapped
rawtok_TUBA3C,TUBA3C,UNMAPPED,unmapped
rawtok_TUBB3,TUBB3,UNMAPPED,unmapped
rawtok_TUBB4A,TUBB4A,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_JAK3,TYROSINE-PROTEIN KINASE JAK3,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,TYROSINE-PROTEIN KINASE RECEPTOR UFO,RTK_SIGNALING_BROAD,mapped
rawtok_TYROSINE_PROTEIN_KINASE_TXK,TYROSINE-PROTEIN KINASE TXK,UNMAPPED,unmapped
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_1,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 1,UNMAPPED,unmapped
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_3,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 3,UNMAPPED,unmapped
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4D,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4D",UNMAPPED,unmapped
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_CATALYTIC_SUBUNIT_ALPHA_1,5'-AMP-ACTIVATED PROTEIN KINASE CATALYTIC SUBUNIT ALPHA-1,UNMAPPED,unmapped
rawtok_ACTIVIN_RECEPTOR_TYPE_2B,ACTIVIN RECEPTOR TYPE-2B,UNMAPPED,unmapped
rawtok_ADA,ADA,UNMAPPED,unmapped
rawtok_ADORA2A,ADORA2A,UNMAPPED,unmapped
rawtok_AHR,AHR,UNMAPPED,unmapped
rawtok_ALK_TYROSINE_KINASE_RECEPTOR,ALK TYROSINE KINASE RECEPTOR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_ANGIOPOIETIN_1_RECEPTOR,ANGIOPOIETIN-1 RECEPTOR,UNMAPPED,unmapped
rawtok_ANKYRIN_REPEAT_AND_PROTEIN_KINASE_DOMAIN_CONTAINING_PROTEIN_1,ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN 1,UNMAPPED,unmapped
rawtok_ATP_DEPENDENT_TRANSLOCASE_ABCB1,ATP-DEPENDENT TRANSLOCASE ABCB1,UNMAPPED,unmapped
rawtok_AURORA_KINASE_A,AURORA KINASE A,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_AURORA_KINASE_C,AURORA KINASE C,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_BCL2L1,BCL2L1,UNMAPPED,unmapped
rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,BDNF/NT-3 GROWTH FACTORS RECEPTOR,UNMAPPED,unmapped
rawtok_BROAD_SUBSTRATE_SPECIFICITY_ATP_BINDING_CASSETTE_TRANSPORTER_ABCG2,BROAD SUBSTRATE SPECIFICITY ATP-BINDING CASSETTE TRANSPORTER ABCG2,ION_CHANNEL_TRANSPORTER,mapped
rawtok_CA12,CA12,UNMAPPED,unmapped
rawtok_CACNB1,CACNB1,UNMAPPED,unmapped
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_GAMMA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA,UNMAPPED,unmapped
rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,CASEIN KINASE I ISOFORM EPSILON,SER_THR_KINASE_SIGNALING,mapped
rawtok_CASP3,CASP3,UNMAPPED,unmapped
rawtok_CFTR,CFTR,UNMAPPED,unmapped
rawtok_CHUK,CHUK,UNMAPPED,unmapped
rawtok_CYP2B6,CYP2B6,UNMAPPED,unmapped
rawtok_CYP2C19,CYP2C19,UNMAPPED,unmapped
rawtok_CYP2C9,CYP2C9,UNMAPPED,unmapped
rawtok_CYP2D6,CYP2D6,UNMAPPED,unmapped
rawtok_CYP3A7,CYP3A7,UNMAPPED,unmapped
rawtok_DEATH_ASSOCIATED_PROTEIN_KINASE_3,DEATH-ASSOCIATED PROTEIN KINASE 3,UNMAPPED,unmapped
rawtok_DHFR,DHFR,UNMAPPED,unmapped
rawtok_DNA_DEPENDENT_PROTEIN_KINASE_CATALYTIC_SUBUNIT,DNA-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT,UNMAPPED,unmapped
rawtok_DOT1L,DOT1L,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_4,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_2,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 2,UNMAPPED,unmapped
rawtok_EIF_2_ALPHA_KINASE_GCN2,EIF-2-ALPHA KINASE GCN2,UNMAPPED,unmapped
rawtok_EP300,EP300,UNMAPPED,unmapped
rawtok_EPHB4,EPHB4,EPH_RECEPTOR_SIGNALING,mapped
rawtok_EPHRIN_TYPE_A_RECEPTOR_1,EPHRIN TYPE-A RECEPTOR 1,EPH_RECEPTOR_SIGNALING,mapped
rawtok_EPHRIN_TYPE_A_RECEPTOR_3,EPHRIN TYPE-A RECEPTOR 3,EPH_RECEPTOR_SIGNALING,mapped
rawtok_EPHRIN_TYPE_A_RECEPTOR_5,EPHRIN TYPE-A RECEPTOR 5,EPH_RECEPTOR_SIGNALING,mapped
rawtok_EPHRIN_TYPE_B_RECEPTOR_1,EPHRIN TYPE-B RECEPTOR 1,EPH_RECEPTOR_SIGNALING,mapped
rawtok_EPHRIN_TYPE_B_RECEPTOR_4,EPHRIN TYPE-B RECEPTOR 4,EPH_RECEPTOR_SIGNALING,mapped
rawtok_FAAH,FAAH,UNMAPPED,unmapped
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_4,FIBROBLAST GROWTH FACTOR RECEPTOR 4,UNMAPPED,unmapped
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,GLYCOGEN SYNTHASE KINASE-3 BETA,SER_THR_KINASE_SIGNALING,mapped
rawtok_GPER1,GPER1,UNMAPPED,unmapped
rawtok_GPR55,GPR55,UNMAPPED,unmapped
rawtok_HCK,HCK,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_1,HOMEODOMAIN-INTERACTING PROTEIN KINASE 1,SER_THR_KINASE_SIGNALING,mapped
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_2,HOMEODOMAIN-INTERACTING PROTEIN KINASE 2,SER_THR_KINASE_SIGNALING,mapped
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_3,HOMEODOMAIN-INTERACTING PROTEIN KINASE 3,SER_THR_KINASE_SIGNALING,mapped
rawtok_HTR1F,HTR1F,UNMAPPED,unmapped
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_4,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 4,UNMAPPED,unmapped
rawtok_JNK2,JNK2,UNMAPPED,unmapped
rawtok_KCNH1,KCNH1,UNMAPPED,unmapped
rawtok_KCNJ11,KCNJ11,UNMAPPED,unmapped
rawtok_KCNK2,KCNK2,UNMAPPED,unmapped
rawtok_KCNN4,KCNN4,UNMAPPED,unmapped
rawtok_LIM_DOMAIN_KINASE_1,LIM DOMAIN KINASE 1,UNMAPPED,unmapped
rawtok_MACROPHAGE_STIMULATING_PROTEIN_RECEPTOR,MACROPHAGE-STIMULATING PROTEIN RECEPTOR,UNMAPPED,unmapped
rawtok_MAOB,MAOB,UNMAPPED,unmapped
rawtok_MAP_KINASE_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_1,MAP KINASE-INTERACTING SERINE/THREONINE-PROTEIN KINASE 1,UNMAPPED,unmapped
rawtok_MAP_KINASE_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,MAP KINASE-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,UNMAPPED,unmapped
rawtok_MAP2,MAP2,UNMAPPED,unmapped
rawtok_MAPK1,MAPK1,UNMAPPED,unmapped
rawtok_MELANOCORTIN_RECEPTOR_3,MELANOCORTIN RECEPTOR 3,UNMAPPED,unmapped
rawtok_MGMT,MGMT,UNMAPPED,unmapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_11,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 11,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_2,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 2,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_7,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MMP13,MMP13,UNMAPPED,unmapped
rawtok_MMP8,MMP8,UNMAPPED,unmapped
rawtok_MU_TYPE_OPIOID_RECEPTOR,MU-TYPE OPIOID RECEPTOR,UNMAPPED,unmapped
rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TYK2,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,UNMAPPED,unmapped
rawtok_NUAK_FAMILY_SNF1_LIKE_KINASE_2,NUAK FAMILY SNF1-LIKE KINASE 2,UNMAPPED,unmapped
rawtok_NUCLEAR_RECEPTOR_SUBFAMILY_1_GROUP_I_MEMBER_2,NUCLEAR RECEPTOR SUBFAMILY 1 GROUP I MEMBER 2,UNMAPPED,unmapped
rawtok_OTHERS,OTHERS,UNMAPPED,unmapped
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_DELTA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT DELTA ISOFORM",UNMAPPED,unmapped
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_GAMMA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA ISOFORM",UNMAPPED,unmapped
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_LIVER_TESTIS_ISOFORM,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, LIVER/TESTIS ISOFORM",UNMAPPED,unmapped
rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_SKELETAL_MUSCLE_HEART_ISOFO,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, SKELETAL MUSCLE/HEART ISOFORM",UNMAPPED,unmapped
rawtok_PI3KBETA,PI3KBETA,UNMAPPED,unmapped
rawtok_PKIA,PKIA,UNMAPPED,unmapped
rawtok_POLE,POLE,DNA_REPLICATION_GENOME_INTEGRITY,mapped
rawtok_POLY_ADP_RIBOSE_POLYMERASE_1,POLY [ADP-RIBOSE] POLYMERASE 1,UNMAPPED,unmapped
rawtok_POLY_ADP_RIBOSE_POLYMERASE_2,POLY [ADP-RIBOSE] POLYMERASE 2,UNMAPPED,unmapped
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_1,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-1,UNMAPPED,unmapped
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_2,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-2,UNMAPPED,unmapped
rawtok_PROGESTERONE_RECEPTOR,PROGESTERONE RECEPTOR,UNMAPPED,unmapped
rawtok_PROTEIN_KINASE_C_DELTA_TYPE,PROTEIN KINASE C DELTA TYPE,UNMAPPED,unmapped
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP10,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP10,UNMAPPED,unmapped
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP3,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP3,UNMAPPED,unmapped
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP4,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP4,UNMAPPED,unmapped
rawtok_PROTEIN_TYROSINE_KINASE_2_BETA,PROTEIN-TYROSINE KINASE 2-BETA,UNMAPPED,unmapped
rawtok_PTK2,PTK2,UNMAPPED,unmapped
rawtok_RAF_PROTO_ONCOGENE_SERINE_THREONINE_PROTEIN_KINASE,RAF PROTO-ONCOGENE SERINE/THREONINE-PROTEIN KINASE,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_RARA,RARA,UNMAPPED,unmapped
rawtok_RARB,RARB,UNMAPPED,unmapped
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_3,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_4,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,RHO-ASSOCIATED PROTEIN KINASE 2,UNMAPPED,unmapped
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_3,RIBOSOMAL PROTEIN S6 KINASE ALPHA-3,UNMAPPED,unmapped
rawtok_RPL3,RPL3,UNMAPPED,unmapped
rawtok_RPS6KB1,RPS6KB1,UNMAPPED,unmapped
rawtok_RRM2B,RRM2B,UNMAPPED,unmapped
rawtok_SCN11A,SCN11A,UNMAPPED,unmapped
rawtok_SCN2A,SCN2A,UNMAPPED,unmapped
rawtok_SCN3A,SCN3A,UNMAPPED,unmapped
rawtok_SCN7A,SCN7A,UNMAPPED,unmapped
rawtok_SCN8A,SCN8A,UNMAPPED,unmapped
rawtok_SCN9A,SCN9A,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_3,SERINE/THREONINE-PROTEIN KINASE 3,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_36,SERINE/THREONINE-PROTEIN KINASE 36,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK2,SERINE/THREONINE-PROTEIN KINASE CHK2,PARP_DNA_REPAIR_CHECKPOINT,mapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_DCLK3,SERINE/THREONINE-PROTEIN KINASE DCLK3,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MARK2,SERINE/THREONINE-PROTEIN KINASE MARK2,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MTOR,SERINE/THREONINE-PROTEIN KINASE MTOR,PI3K_AKT_MTOR,mapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_N2,SERINE/THREONINE-PROTEIN KINASE N2,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_NLK,SERINE/THREONINE-PROTEIN KINASE NLK,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_4,SERINE/THREONINE-PROTEIN KINASE PAK 4,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SIK1,SERINE/THREONINE-PROTEIN KINASE SIK1,UNMAPPED,unmapped
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ULK3,SERINE/THREONINE-PROTEIN KINASE ULK3,UNMAPPED,unmapped
rawtok_SIRT1,SIRT1,UNMAPPED,unmapped
rawtok_SMO,SMO,UNMAPPED,unmapped
rawtok_TAK1,TAK1,UNMAPPED,unmapped
rawtok_TEK,TEK,UNMAPPED,unmapped
rawtok_TNKS1,TNKS1,UNMAPPED,unmapped
rawtok_TP53,TP53,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_BTK,TYROSINE-PROTEIN KINASE BTK,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_FER,TYROSINE-PROTEIN KINASE FER,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_FES_FPS,TYROSINE-PROTEIN KINASE FES/FPS,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_JAK2,TYROSINE-PROTEIN KINASE JAK2,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_MER,TYROSINE-PROTEIN KINASE MER,UNMAPPED,unmapped
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TIE_1,TYROSINE-PROTEIN KINASE RECEPTOR TIE-1,RTK_SIGNALING_BROAD,mapped
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,RTK_SIGNALING_BROAD,mapped
rawtok_VEGFA,VEGFA,UNMAPPED,unmapped
rawtok_VEGFR2,VEGFR2,UNMAPPED,unmapped
rawtok_2_AND_3_INHIBITOR,2 AND 3 INHIBITOR,UNMAPPED,unmapped
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_SUBUNIT_GAMMA_1,5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT GAMMA-1,UNMAPPED,unmapped
rawtok_5_AMP_ACTIVATED_PROTEIN_KINASE_SUBUNIT_GAMMA_2,5'-AMP-ACTIVATED PROTEIN KINASE SUBUNIT GAMMA-2,UNMAPPED,unmapped
rawtok_AGTR1,AGTR1,UNMAPPED,unmapped
rawtok_AKT,AKT,PI3K_AKT_MTOR,mapped
rawtok_ALDH2,ALDH2,UNMAPPED,unmapped
rawtok_ALPHA_2A_ADRENERGIC_RECEPTOR,ALPHA-2A ADRENERGIC RECEPTOR,UNMAPPED,unmapped
rawtok_ANTIMETABOLITE,ANTIMETABOLITE,UNMAPPED,unmapped
rawtok_APP,APP,UNMAPPED,unmapped
rawtok_BCL_W,BCL-W,UNMAPPED,unmapped
rawtok_BIRC2,BIRC2,UNMAPPED,unmapped
rawtok_BONE_MORPHOGENETIC_PROTEIN_RECEPTOR_TYPE_1B,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE-1B,UNMAPPED,unmapped
rawtok_BREAKPOINT_CLUSTER_REGION_PROTEIN,BREAKPOINT CLUSTER REGION PROTEIN,UNMAPPED,unmapped
rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,BROMODOMAIN-CONTAINING PROTEIN 4,UNMAPPED,unmapped
rawtok_BRPF2,BRPF2,UNMAPPED,unmapped
rawtok_CA6,CA6,UNMAPPED,unmapped
rawtok_CA7,CA7,UNMAPPED,unmapped
rawtok_CA9,CA9,UNMAPPED,unmapped
rawtok_CACNA1D,CACNA1D,UNMAPPED,unmapped
rawtok_CACNA1F,CACNA1F,UNMAPPED,unmapped
rawtok_CACNA1H,CACNA1H,UNMAPPED,unmapped
rawtok_CACNA1I,CACNA1I,UNMAPPED,unmapped
rawtok_CACNA1S,CACNA1S,UNMAPPED,unmapped
rawtok_CACNB2,CACNB2,UNMAPPED,unmapped
rawtok_CACNB3,CACNB3,UNMAPPED,unmapped
rawtok_CACNB4,CACNB4,UNMAPPED,unmapped
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_KINASE_2,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE KINASE 2,UNMAPPED,unmapped
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_1,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE 1,UNMAPPED,unmapped
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,UNMAPPED,unmapped
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_DELTA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT DELTA,UNMAPPED,unmapped
rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA,SER_THR_KINASE_SIGNALING,mapped
rawtok_CCL2,CCL2,UNMAPPED,unmapped
rawtok_CCR2,CCR2,UNMAPPED,unmapped
rawtok_CDC7,CDC7,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_CETP,CETP,UNMAPPED,unmapped
rawtok_CHEK2,CHEK2,PARP_DNA_REPAIR_CHECKPOINT,mapped
rawtok_CHRNA7,CHRNA7,UNMAPPED,unmapped
rawtok_CXCR1,CXCR1,UNMAPPED,unmapped
rawtok_CXCR2,CXCR2,UNMAPPED,unmapped
rawtok_CYCLIN_DEPENDENT_KINASE_5,CYCLIN-DEPENDENT KINASE 5,UNMAPPED,unmapped
rawtok_CYCLIN_DEPENDENT_KINASE_8,CYCLIN-DEPENDENT KINASE 8,UNMAPPED,unmapped
rawtok_CYP17A1,CYP17A1,UNMAPPED,unmapped
rawtok_CYTOCHROME_P450_1A2,CYTOCHROME P450 1A2,UNMAPPED,unmapped
rawtok_CYTOCHROME_P450_2C9,CYTOCHROME P450 2C9,UNMAPPED,unmapped
rawtok_D_3_DOPAMINE_RECEPTOR,D(3) DOPAMINE RECEPTOR,UNMAPPED,unmapped
rawtok_DDR1,DDR1,UNMAPPED,unmapped
rawtok_DDR2,DDR2,UNMAPPED,unmapped
rawtok_DHODH,DHODH,UNMAPPED,unmapped
rawtok_DNAPK,DNAPK,UNMAPPED,unmapped
rawtok_DNMT3A,DNMT3A,UNMAPPED,unmapped
rawtok_DNMT3B,DNMT3B,UNMAPPED,unmapped
rawtok_DPP4,DPP4,UNMAPPED,unmapped
rawtok_DPYD,DPYD,UNMAPPED,unmapped
rawtok_DRD5,DRD5,UNMAPPED,unmapped
rawtok_DSDNA_BREAK_INDUCTION,DSDNA BREAK INDUCTION,UNMAPPED,unmapped
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1_INHIBITOR,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 INHIBITOR,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2_INHIBITOR,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 INHIBITOR,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_DUAL_SPECIFICITY_TESTIS_SPECIFIC_PROTEIN_KINASE_1,DUAL SPECIFICITY TESTIS-SPECIFIC PROTEIN KINASE 1,UNMAPPED,unmapped
